publication_number,query,abstract
US20180163283A1-20180614,reducing agent vanadium oxidation state tungsten isolation,"Methods of isolating tungsten and, in particular, methods of separating tungsten and vanadium are described herein. The methods can generally comprise treating a tungsten-containing material in aqueous solution with a reducing agent suitable for the reduction of pentavalent vanadium to one or more lower oxidation states of vanadium, such that the tungsten can be more readily separated from the vanadium, e.g., via solvent extraction. In certain embodiments, the methods disclosed herein can provide tungsten, vanadium, or both tungsten and vanadium in sufficient purities for commercial use."
US20180163283A1-20180614,aqueous tungsten vanadium separation,"Methods of isolating tungsten and, in particular, methods of separating tungsten and vanadium are described herein. The methods can generally comprise treating a tungsten-containing material in aqueous solution with a reducing agent suitable for the reduction of pentavalent vanadium to one or more lower oxidation states of vanadium, such that the tungsten can be more readily separated from the vanadium, e.g., via solvent extraction. In certain embodiments, the methods disclosed herein can provide tungsten, vanadium, or both tungsten and vanadium in sufficient purities for commercial use."
US20180057607A1-20180301,heteromultimer production method disulfide bond reorganization,It is intended to provide a method for efficiently and stably producing a heteromultimer by incubating homo variants of plural types of heavy chain constant region-containing polypeptides differing in antigen-binding activity under a reducing condition that reorganize the inter-polypeptide disulfide bond between cysteine residues outside of core hinge regions. A feature of the production method of the present invention is that amino acid residues in the core hinge regions do not form any disulfide bond.
US20180057607A1-20180301,heavy chain constant region polypeptides antigen-binding activity reducing conditions,It is intended to provide a method for efficiently and stably producing a heteromultimer by incubating homo variants of plural types of heavy chain constant region-containing polypeptides differing in antigen-binding activity under a reducing condition that reorganize the inter-polypeptide disulfide bond between cysteine residues outside of core hinge regions. A feature of the production method of the present invention is that amino acid residues in the core hinge regions do not form any disulfide bond.
US20180057607A1-20180301,core hinge region disulfide bond free heteromultimer production,It is intended to provide a method for efficiently and stably producing a heteromultimer by incubating homo variants of plural types of heavy chain constant region-containing polypeptides differing in antigen-binding activity under a reducing condition that reorganize the inter-polypeptide disulfide bond between cysteine residues outside of core hinge regions. A feature of the production method of the present invention is that amino acid residues in the core hinge regions do not form any disulfide bond.
US20180117541A1-20180503,adjustable throttle body fluid mixing chamber,"An apparatus comprising a chamber enclosing a flow path of a first fluid and having a second inlet arranged downstream of the first inlet for receiving a second fluid. The apparatus further comprises a vertically adjustable throttle body an end portion comprising three parts, the first part being upstream of the second part, the third part being downstream of the second part, wherein, in an operating position, the second inlet is upstream of the third part of the throttle body and downstream of the first inlet and wherein the first part and the third part of the end portion are adapted to achieve a higher flow rate than the second part."
US20180117541A1-20180503,two fluid inlets downstream mixing apparatus,"An apparatus comprising a chamber enclosing a flow path of a first fluid and having a second inlet arranged downstream of the first inlet for receiving a second fluid. The apparatus further comprises a vertically adjustable throttle body an end portion comprising three parts, the first part being upstream of the second part, the third part being downstream of the second part, wherein, in an operating position, the second inlet is upstream of the third part of the throttle body and downstream of the first inlet and wherein the first part and the third part of the end portion are adapted to achieve a higher flow rate than the second part."
US20180117541A1-20180503,variable flow rate throttle body design,"An apparatus comprising a chamber enclosing a flow path of a first fluid and having a second inlet arranged downstream of the first inlet for receiving a second fluid. The apparatus further comprises a vertically adjustable throttle body an end portion comprising three parts, the first part being upstream of the second part, the third part being downstream of the second part, wherein, in an operating position, the second inlet is upstream of the third part of the throttle body and downstream of the first inlet and wherein the first part and the third part of the end portion are adapted to achieve a higher flow rate than the second part."
US20180263246A1-20180920,highly concentrated bordeaux liquid preparation,"The present invention relates to a highly concentrated transparent “bordeaux liquid” having multi-functionality, and to a preparation of a highly concentrated transparent “bordeaux liquid” having multi-functionality. More specifically, the present invention is directed to a “bordeaux liquid” applicable to various disease and insect damages on the basis of the features thereof, in which: the bordeaux liquid can be stably preserved for a long period of time without causing poor dispersion both at the concentration at the time of concentration and the concentration at the time of use before the spraying of the bordeaux liquid; after the bordeaux liquid is sprayed on leaves or fruit trees, water-insoluble calcium hydroxide and water-insoluble calcium sulfate are attached to the leaves of the fruit trees to inhibit a vigorous respiration action or block sunlight, and as a result, the photosynthetic rate of plants is not decreased; yellow-white precipitates, even when adhering to fruits or chili peppers, do not damage the beauty of the products; and the bordeaux liquid does not permit easy exfoliation or elution by external physical pressure or rainwater even after spray and after drying. The purpose of the present invention is to provide: a highly-concentrated multi-functional “bordeaux liquid”, in which a multi-functional “bordeaux liquid” having the foregoing functionalities is highly concentrated to be convenient in use; and a method for preparing a highly-concentrated multi-functional “bordeaux liquid”. The present invention relates to a method for preparing highly concentrated high-functional lime bordeaux liquid, wherein, when the lime bordeaux liquid is used, there is no problem of a nozzle or the like becoming clogged due to the precipitation of lime as a raw material ingredient; there is no need for agitation at each time of use since the precipitation of raw ingredients does not occur during the long-term storage of the bordeaux liquid; the bordeaux liquid has excellent dispersing stability to maintain a uniform concentration; the bordeaux liquid has excellent deposition stability immediately after spraying and after drying; and the mark of the lime material, which causes a deterioration of product quality immediately after spraying, is not left; and especially, the bordeaux liquid can be concentrated to a high concentration, thereby reducing the packaging container and saving the cost of transport."
US20180263246A1-20180920,transparent bordeaux liquid for disease and insect control,"The present invention relates to a highly concentrated transparent “bordeaux liquid” having multi-functionality, and to a preparation of a highly concentrated transparent “bordeaux liquid” having multi-functionality. More specifically, the present invention is directed to a “bordeaux liquid” applicable to various disease and insect damages on the basis of the features thereof, in which: the bordeaux liquid can be stably preserved for a long period of time without causing poor dispersion both at the concentration at the time of concentration and the concentration at the time of use before the spraying of the bordeaux liquid; after the bordeaux liquid is sprayed on leaves or fruit trees, water-insoluble calcium hydroxide and water-insoluble calcium sulfate are attached to the leaves of the fruit trees to inhibit a vigorous respiration action or block sunlight, and as a result, the photosynthetic rate of plants is not decreased; yellow-white precipitates, even when adhering to fruits or chili peppers, do not damage the beauty of the products; and the bordeaux liquid does not permit easy exfoliation or elution by external physical pressure or rainwater even after spray and after drying. The purpose of the present invention is to provide: a highly-concentrated multi-functional “bordeaux liquid”, in which a multi-functional “bordeaux liquid” having the foregoing functionalities is highly concentrated to be convenient in use; and a method for preparing a highly-concentrated multi-functional “bordeaux liquid”. The present invention relates to a method for preparing highly concentrated high-functional lime bordeaux liquid, wherein, when the lime bordeaux liquid is used, there is no problem of a nozzle or the like becoming clogged due to the precipitation of lime as a raw material ingredient; there is no need for agitation at each time of use since the precipitation of raw ingredients does not occur during the long-term storage of the bordeaux liquid; the bordeaux liquid has excellent dispersing stability to maintain a uniform concentration; the bordeaux liquid has excellent deposition stability immediately after spraying and after drying; and the mark of the lime material, which causes a deterioration of product quality immediately after spraying, is not left; and especially, the bordeaux liquid can be concentrated to a high concentration, thereby reducing the packaging container and saving the cost of transport."
US20180263246A1-20180920,bordeaux liquid with improved stability and adhesion,"The present invention relates to a highly concentrated transparent “bordeaux liquid” having multi-functionality, and to a preparation of a highly concentrated transparent “bordeaux liquid” having multi-functionality. More specifically, the present invention is directed to a “bordeaux liquid” applicable to various disease and insect damages on the basis of the features thereof, in which: the bordeaux liquid can be stably preserved for a long period of time without causing poor dispersion both at the concentration at the time of concentration and the concentration at the time of use before the spraying of the bordeaux liquid; after the bordeaux liquid is sprayed on leaves or fruit trees, water-insoluble calcium hydroxide and water-insoluble calcium sulfate are attached to the leaves of the fruit trees to inhibit a vigorous respiration action or block sunlight, and as a result, the photosynthetic rate of plants is not decreased; yellow-white precipitates, even when adhering to fruits or chili peppers, do not damage the beauty of the products; and the bordeaux liquid does not permit easy exfoliation or elution by external physical pressure or rainwater even after spray and after drying. The purpose of the present invention is to provide: a highly-concentrated multi-functional “bordeaux liquid”, in which a multi-functional “bordeaux liquid” having the foregoing functionalities is highly concentrated to be convenient in use; and a method for preparing a highly-concentrated multi-functional “bordeaux liquid”. The present invention relates to a method for preparing highly concentrated high-functional lime bordeaux liquid, wherein, when the lime bordeaux liquid is used, there is no problem of a nozzle or the like becoming clogged due to the precipitation of lime as a raw material ingredient; there is no need for agitation at each time of use since the precipitation of raw ingredients does not occur during the long-term storage of the bordeaux liquid; the bordeaux liquid has excellent dispersing stability to maintain a uniform concentration; the bordeaux liquid has excellent deposition stability immediately after spraying and after drying; and the mark of the lime material, which causes a deterioration of product quality immediately after spraying, is not left; and especially, the bordeaux liquid can be concentrated to a high concentration, thereby reducing the packaging container and saving the cost of transport."
US20180266725A1-20180920,terminal device for heating apparatus thermal fuse,"The present invention relates to a terminal device for connecting a heating apparatus with an electricity supply, in particular for a tubular heating apparatus for household appliances, wherein the heating apparatus includes at least one electric resistance heating element. The terminal device comprises a mounting and reception section arranged for being electrically connected with the electric resistance heating element of the heating apparatus, a connector section arranged for being electrically connected on its one end side with an electrical power supply and on its other end side with the mounting and reception section, and a thermal fuse unit for detecting an excess temperature of the heating apparatus, which is in heat transfer contact with at least the mounting and reception section and which is connected in the electric supply circuit for supplying the electric resistance heating element of the heating apparatus with electricity. Moreover, the mounting and reception section comprises a cavity for receiving at least the thermal fuse unit."
US20180266725A1-20180920,tubular heating element connector with over temperature protection,"The present invention relates to a terminal device for connecting a heating apparatus with an electricity supply, in particular for a tubular heating apparatus for household appliances, wherein the heating apparatus includes at least one electric resistance heating element. The terminal device comprises a mounting and reception section arranged for being electrically connected with the electric resistance heating element of the heating apparatus, a connector section arranged for being electrically connected on its one end side with an electrical power supply and on its other end side with the mounting and reception section, and a thermal fuse unit for detecting an excess temperature of the heating apparatus, which is in heat transfer contact with at least the mounting and reception section and which is connected in the electric supply circuit for supplying the electric resistance heating element of the heating apparatus with electricity. Moreover, the mounting and reception section comprises a cavity for receiving at least the thermal fuse unit."
US20180266725A1-20180920,electric resistance heater terminal block with thermal fuse cavity,"The present invention relates to a terminal device for connecting a heating apparatus with an electricity supply, in particular for a tubular heating apparatus for household appliances, wherein the heating apparatus includes at least one electric resistance heating element. The terminal device comprises a mounting and reception section arranged for being electrically connected with the electric resistance heating element of the heating apparatus, a connector section arranged for being electrically connected on its one end side with an electrical power supply and on its other end side with the mounting and reception section, and a thermal fuse unit for detecting an excess temperature of the heating apparatus, which is in heat transfer contact with at least the mounting and reception section and which is connected in the electric supply circuit for supplying the electric resistance heating element of the heating apparatus with electricity. Moreover, the mounting and reception section comprises a cavity for receiving at least the thermal fuse unit."
US20180149320A1-20180531,LED lighting tube with reflective member for light directivity,An LED lighting device includes a light reflective member. The light reflective member is provided to extend so as to cause light emitted from an LED element to have light directivity and to radiate from an LED lighting tube to the outside of the tube. The reflective member includes a light directivity forming surface and a pseudo LED element forming surface. The light directivity forming surface causes the light emitted from the LED element to have the light directivity and to be directed from the LED lighting tube toward the outside of the tube. The pseudo LED element forming surface reflects a pseudo LED element of the LED element installed on the substrate. The light radiated from the LED element is radiated to the outside of the tube after having been confined in the tube.
US20180149320A1-20180531,LED lighting device with pseudo LED element forming surface,An LED lighting device includes a light reflective member. The light reflective member is provided to extend so as to cause light emitted from an LED element to have light directivity and to radiate from an LED lighting tube to the outside of the tube. The reflective member includes a light directivity forming surface and a pseudo LED element forming surface. The light directivity forming surface causes the light emitted from the LED element to have the light directivity and to be directed from the LED lighting tube toward the outside of the tube. The pseudo LED element forming surface reflects a pseudo LED element of the LED element installed on the substrate. The light radiated from the LED element is radiated to the outside of the tube after having been confined in the tube.
US20180149320A1-20180531,LED light confinement and radiation using reflective member,An LED lighting device includes a light reflective member. The light reflective member is provided to extend so as to cause light emitted from an LED element to have light directivity and to radiate from an LED lighting tube to the outside of the tube. The reflective member includes a light directivity forming surface and a pseudo LED element forming surface. The light directivity forming surface causes the light emitted from the LED element to have the light directivity and to be directed from the LED lighting tube toward the outside of the tube. The pseudo LED element forming surface reflects a pseudo LED element of the LED element installed on the substrate. The light radiated from the LED element is radiated to the outside of the tube after having been confined in the tube.
US20180152975A1-20180531,5G mobility management IP flow tunnel,"The present invention relates to a 5G or pre-5G communication system for supporting high data throughput beyond the 4G communication systems such as LTE. A method for a server for supporting the mobility of a user equipment (UE) in a mobile communication network comprises the steps of: establishing an IP flow with the UE utilizing a first IP address to transceive data; receiving a message comprising a second IP address allocated to the UE and an identifier for the IP flow; generating a tunnel interface for communicating with the UE having the second IP address as the ending IP address, and binding the IP flow allocated to the identifier to the generated tunnel interface; and transceiving data with the UE by means of the tunnel interface."
US20180152975A1-20180531,Mobile communication network UE IP address handover,"The present invention relates to a 5G or pre-5G communication system for supporting high data throughput beyond the 4G communication systems such as LTE. A method for a server for supporting the mobility of a user equipment (UE) in a mobile communication network comprises the steps of: establishing an IP flow with the UE utilizing a first IP address to transceive data; receiving a message comprising a second IP address allocated to the UE and an identifier for the IP flow; generating a tunnel interface for communicating with the UE having the second IP address as the ending IP address, and binding the IP flow allocated to the identifier to the generated tunnel interface; and transceiving data with the UE by means of the tunnel interface."
US20180152975A1-20180531,Server tunnel interface for UE mobility,"The present invention relates to a 5G or pre-5G communication system for supporting high data throughput beyond the 4G communication systems such as LTE. A method for a server for supporting the mobility of a user equipment (UE) in a mobile communication network comprises the steps of: establishing an IP flow with the UE utilizing a first IP address to transceive data; receiving a message comprising a second IP address allocated to the UE and an identifier for the IP flow; generating a tunnel interface for communicating with the UE having the second IP address as the ending IP address, and binding the IP flow allocated to the identifier to the generated tunnel interface; and transceiving data with the UE by means of the tunnel interface."
US20180252903A1-20180906,zoom lens system positive negative lens groups,"A zoom optical system (ZL) comprises a first lens group (G1) having positive refractive power, a second lens group (G2) having negative refractive power, a third lens group (G3) having positive refractive power, a fourth lens group (G4) having negative refractive power, and a fifth lens group (G5) having positive refractive power that are disposed in order from an object. Upon zooming from a wide angle end state to a telephoto end state, the lens groups are moved along an optical axis to change distances between the lens groups. The fifth lens group (G5) comprises at least one positive lens and at least one negative lens. Certain conditional expressions are satisfied."
US20180252903A1-20180906,optical zoom system moving lens groups,"A zoom optical system (ZL) comprises a first lens group (G1) having positive refractive power, a second lens group (G2) having negative refractive power, a third lens group (G3) having positive refractive power, a fourth lens group (G4) having negative refractive power, and a fifth lens group (G5) having positive refractive power that are disposed in order from an object. Upon zooming from a wide angle end state to a telephoto end state, the lens groups are moved along an optical axis to change distances between the lens groups. The fifth lens group (G5) comprises at least one positive lens and at least one negative lens. Certain conditional expressions are satisfied."
US20180252903A1-20180906,zoom lens system with conditional expressions,"A zoom optical system (ZL) comprises a first lens group (G1) having positive refractive power, a second lens group (G2) having negative refractive power, a third lens group (G3) having positive refractive power, a fourth lens group (G4) having negative refractive power, and a fifth lens group (G5) having positive refractive power that are disposed in order from an object. Upon zooming from a wide angle end state to a telephoto end state, the lens groups are moved along an optical axis to change distances between the lens groups. The fifth lens group (G5) comprises at least one positive lens and at least one negative lens. Certain conditional expressions are satisfied."
US20180117944A1-20180503,smart card rechargeable battery activation,"A card functions as a credit card or a cash card, the card including: a card management section configured to (i) transmit card information to a smartphone, (ii) accept from the smartphone an instruction for activating the card, and (iii) activate the card in accordance with the instruction thus accepted; and a battery which is rechargeable and is configured to supply electric power used in the card."
US20180117944A1-20180503,credit card smartphone activation instruction,"A card functions as a credit card or a cash card, the card including: a card management section configured to (i) transmit card information to a smartphone, (ii) accept from the smartphone an instruction for activating the card, and (iii) activate the card in accordance with the instruction thus accepted; and a battery which is rechargeable and is configured to supply electric power used in the card."
US20180117944A1-20180503,cash card battery powered card management,"A card functions as a credit card or a cash card, the card including: a card management section configured to (i) transmit card information to a smartphone, (ii) accept from the smartphone an instruction for activating the card, and (iii) activate the card in accordance with the instruction thus accepted; and a battery which is rechargeable and is configured to supply electric power used in the card."
US20180243298A1-20180830,TRPV3 antagonist pain treatment,"A compound of Formula (I) having efficacy for the treatment or prevention of conditions and disorders related to TRPV3 activity, e.g. pain, atopic dermatitis, eczema, itch or psoriasis, is disclosed. Compositions comprising such compounds and methods for treating conditions and disorders using such compounds and compositions are also presented."
US20180243298A1-20180830,TRPV3 inhibitor atopic dermatitis,"A compound of Formula (I) having efficacy for the treatment or prevention of conditions and disorders related to TRPV3 activity, e.g. pain, atopic dermatitis, eczema, itch or psoriasis, is disclosed. Compositions comprising such compounds and methods for treating conditions and disorders using such compounds and compositions are also presented."
US20180243298A1-20180830,TRPV3 psoriasis eczema treatment,"A compound of Formula (I) having efficacy for the treatment or prevention of conditions and disorders related to TRPV3 activity, e.g. pain, atopic dermatitis, eczema, itch or psoriasis, is disclosed. Compositions comprising such compounds and methods for treating conditions and disorders using such compounds and compositions are also presented."
US20180177867A1-20180628,Dectin-1 ligand TLR agonist adjuvant,"The present invention provides an adjuvant for vaccine including a Dectin-1 ligand and a TLR agonist, a vaccine including the adjuvant for vaccine and at least one antigen, and the like."
US20180177867A1-20180628,vaccine adjuvant Dectin-1 TLR,"The present invention provides an adjuvant for vaccine including a Dectin-1 ligand and a TLR agonist, a vaccine including the adjuvant for vaccine and at least one antigen, and the like."
US20180177867A1-20180628,antigen vaccine Dectin-1 ligand TLR agonist,"The present invention provides an adjuvant for vaccine including a Dectin-1 ligand and a TLR agonist, a vaccine including the adjuvant for vaccine and at least one antigen, and the like."
US20180200993A1-20180719,steel skin polymeric layer sandwich structure manufacturing,"A process for manufacturing a sandwich structure including two steel skin layers separated by a polymeric layer is provided. The process includes dimensioning the sandwich structure according to a target to be attained by defining the target to be attained by three target values, i.e., tensile strength Tc expressed in kN/mm, bending stiffness Bc expressed in kN/mm, and surface mass Mc expressed in Kg/m2, defining a tolerance for the attainment of target values, defining the sandwich structure by five variables, i.e., the thickness Ea of the steel skin layers expressed in mm, the polymeric layer thickness Ep expressed in mm, the intrinsic Young's modulus Yp of the polymeric layer, the intrinsic density dp of the polymeric layer, and the volume ratio Rp of the polymeric layer expressed as a volume percentage of the polymeric layer of the material, identifying the Ea, Ep, Yp, dp, and Rp combinations enabling attainment of the target values having the defined tolerance, and determining, for each variable, an operating range. The process also includes selecting the steel and the polymeric layer for which each variable is within the range defined in the previous step and manufacturing the corresponding sandwich structure."
US20180200993A1-20180719,sandwich structure tensile strength bending stiffness surface mass optimization,"A process for manufacturing a sandwich structure including two steel skin layers separated by a polymeric layer is provided. The process includes dimensioning the sandwich structure according to a target to be attained by defining the target to be attained by three target values, i.e., tensile strength Tc expressed in kN/mm, bending stiffness Bc expressed in kN/mm, and surface mass Mc expressed in Kg/m2, defining a tolerance for the attainment of target values, defining the sandwich structure by five variables, i.e., the thickness Ea of the steel skin layers expressed in mm, the polymeric layer thickness Ep expressed in mm, the intrinsic Young's modulus Yp of the polymeric layer, the intrinsic density dp of the polymeric layer, and the volume ratio Rp of the polymeric layer expressed as a volume percentage of the polymeric layer of the material, identifying the Ea, Ep, Yp, dp, and Rp combinations enabling attainment of the target values having the defined tolerance, and determining, for each variable, an operating range. The process also includes selecting the steel and the polymeric layer for which each variable is within the range defined in the previous step and manufacturing the corresponding sandwich structure."
US20180200993A1-20180719,polymeric core sandwich panel Young's modulus density volume ratio,"A process for manufacturing a sandwich structure including two steel skin layers separated by a polymeric layer is provided. The process includes dimensioning the sandwich structure according to a target to be attained by defining the target to be attained by three target values, i.e., tensile strength Tc expressed in kN/mm, bending stiffness Bc expressed in kN/mm, and surface mass Mc expressed in Kg/m2, defining a tolerance for the attainment of target values, defining the sandwich structure by five variables, i.e., the thickness Ea of the steel skin layers expressed in mm, the polymeric layer thickness Ep expressed in mm, the intrinsic Young's modulus Yp of the polymeric layer, the intrinsic density dp of the polymeric layer, and the volume ratio Rp of the polymeric layer expressed as a volume percentage of the polymeric layer of the material, identifying the Ea, Ep, Yp, dp, and Rp combinations enabling attainment of the target values having the defined tolerance, and determining, for each variable, an operating range. The process also includes selecting the steel and the polymeric layer for which each variable is within the range defined in the previous step and manufacturing the corresponding sandwich structure."
US20180216630A1-20180802,axial fan detachable vane hub,"The invention relates to a flow rectifier for an axial fan as well as to an axial fan having a flow rectifier. A flow rectifier according to the invention for an axial fan with a hub and at least one vane is characterized in that the at least one vane can be operatively connected to the hub so as to be detachable. Since the vane and the hub can be connected so as to be detachable, the flow rectifier has a modular structure."
US20180216630A1-20180802,flow rectifier modular axial fan,"The invention relates to a flow rectifier for an axial fan as well as to an axial fan having a flow rectifier. A flow rectifier according to the invention for an axial fan with a hub and at least one vane is characterized in that the at least one vane can be operatively connected to the hub so as to be detachable. Since the vane and the hub can be connected so as to be detachable, the flow rectifier has a modular structure."
US20180216630A1-20180802,axial fan with detachable flow rectifier,"The invention relates to a flow rectifier for an axial fan as well as to an axial fan having a flow rectifier. A flow rectifier according to the invention for an axial fan with a hub and at least one vane is characterized in that the at least one vane can be operatively connected to the hub so as to be detachable. Since the vane and the hub can be connected so as to be detachable, the flow rectifier has a modular structure."
US20180191372A1-20180705,bit sequence compression frequency analysis,"A method of compression is disclosed in which an input sequence of bits is divided into a plurality of portions. Each portion is sub-divided into a plurality of sub-divisions. Frequency analysis is performed to determine the number of occurrences of each sub-division permutation and new values are assigned, based on the frequency analysis, to each of the sub-division permutations. For each portion a label representing the permutation of bits in that portion is assigned. The label comprises a representation of a combined value resulting from combining the new values associated with the sub-division permutations of that portion. A processed sequence of bits is generated by replacing, within the input sequence of bits, bit portions with the respective label representing the permutation of bits in that portion."
US20180191372A1-20180705,data compression permutation labeling,"A method of compression is disclosed in which an input sequence of bits is divided into a plurality of portions. Each portion is sub-divided into a plurality of sub-divisions. Frequency analysis is performed to determine the number of occurrences of each sub-division permutation and new values are assigned, based on the frequency analysis, to each of the sub-division permutations. For each portion a label representing the permutation of bits in that portion is assigned. The label comprises a representation of a combined value resulting from combining the new values associated with the sub-division permutations of that portion. A processed sequence of bits is generated by replacing, within the input sequence of bits, bit portions with the respective label representing the permutation of bits in that portion."
US20180191372A1-20180705,adaptive bit compression,"A method of compression is disclosed in which an input sequence of bits is divided into a plurality of portions. Each portion is sub-divided into a plurality of sub-divisions. Frequency analysis is performed to determine the number of occurrences of each sub-division permutation and new values are assigned, based on the frequency analysis, to each of the sub-division permutations. For each portion a label representing the permutation of bits in that portion is assigned. The label comprises a representation of a combined value resulting from combining the new values associated with the sub-division permutations of that portion. A processed sequence of bits is generated by replacing, within the input sequence of bits, bit portions with the respective label representing the permutation of bits in that portion."
US20180187702A1-20180705,hydraulic machine pump-piston accumulator driving cylinder,"A hydraulic machine unit that can be operated with various working forces, in which working medium is selectively delivered, via a pump-piston accumulator system, to a main cylinder and at least one driving cylinder, wherein at least for one working stroke a pump system of the pump-piston accumulator system is used to provide working medium to a piston accumulator of the pump-piston accumulator system, and then at least for the working stroke at least the main cylinder is charged with a working pressure from the piston accumulator, and wherein at least for a return stroke the at least one driving cylinder is charged with a return stroke pressure from the pump-piston accumulator system, can be of structurally simple configuration if, at reduced working forces, the working pressure is reduced with respect to the piston accumulator pressure prevailing in the piston accumulator."
US20180187702A1-20180705,hydraulic system variable working force accumulator pressure,"A hydraulic machine unit that can be operated with various working forces, in which working medium is selectively delivered, via a pump-piston accumulator system, to a main cylinder and at least one driving cylinder, wherein at least for one working stroke a pump system of the pump-piston accumulator system is used to provide working medium to a piston accumulator of the pump-piston accumulator system, and then at least for the working stroke at least the main cylinder is charged with a working pressure from the piston accumulator, and wherein at least for a return stroke the at least one driving cylinder is charged with a return stroke pressure from the pump-piston accumulator system, can be of structurally simple configuration if, at reduced working forces, the working pressure is reduced with respect to the piston accumulator pressure prevailing in the piston accumulator."
US20180187702A1-20180705,pump-piston accumulator main cylinder return stroke pressure,"A hydraulic machine unit that can be operated with various working forces, in which working medium is selectively delivered, via a pump-piston accumulator system, to a main cylinder and at least one driving cylinder, wherein at least for one working stroke a pump system of the pump-piston accumulator system is used to provide working medium to a piston accumulator of the pump-piston accumulator system, and then at least for the working stroke at least the main cylinder is charged with a working pressure from the piston accumulator, and wherein at least for a return stroke the at least one driving cylinder is charged with a return stroke pressure from the pump-piston accumulator system, can be of structurally simple configuration if, at reduced working forces, the working pressure is reduced with respect to the piston accumulator pressure prevailing in the piston accumulator."
US20170331624A1-20171116,data security using randomness for authentication,"This invention establishes means and protocols to secure data, and practice online authentication, using large undisclosed amounts of randomness, replacing the algorithmic complexity paradigm. Computation is limited to basic primitives like transposition, and bit-flipping. Security is credibly appraised through combinatorics calculus, and this transfers the security responsibility to the user who determines how much randomness to use."
US20170331624A1-20171116,online authentication transposition and bit-flipping,"This invention establishes means and protocols to secure data, and practice online authentication, using large undisclosed amounts of randomness, replacing the algorithmic complexity paradigm. Computation is limited to basic primitives like transposition, and bit-flipping. Security is credibly appraised through combinatorics calculus, and this transfers the security responsibility to the user who determines how much randomness to use."
US20170331624A1-20171116,secure data protocols combinatorics calculus,"This invention establishes means and protocols to secure data, and practice online authentication, using large undisclosed amounts of randomness, replacing the algorithmic complexity paradigm. Computation is limited to basic primitives like transposition, and bit-flipping. Security is credibly appraised through combinatorics calculus, and this transfers the security responsibility to the user who determines how much randomness to use."
US20180140602A1-20180524,CD19 CAR T-cell therapy BTK inhibitor combination,"The invention provides compositions and methods for treating diseases associated with expression of CD19, e.g., by administering a recombinant T cell comprising the CD19 CAR as described herein, in combination with a BTK inhibitor, e.g., an amino pyrimidine derivative described herein. The invention also provides kits and compositions described herein."
US20180140602A1-20180524,recombinant T cell CD19 CAR treatment,"The invention provides compositions and methods for treating diseases associated with expression of CD19, e.g., by administering a recombinant T cell comprising the CD19 CAR as described herein, in combination with a BTK inhibitor, e.g., an amino pyrimidine derivative described herein. The invention also provides kits and compositions described herein."
US20180140602A1-20180524,amino pyrimidine derivative BTK inhibitor CD19,"The invention provides compositions and methods for treating diseases associated with expression of CD19, e.g., by administering a recombinant T cell comprising the CD19 CAR as described herein, in combination with a BTK inhibitor, e.g., an amino pyrimidine derivative described herein. The invention also provides kits and compositions described herein."
US20180250984A1-20180906,Itaconate-butadiene copolymer rubber sulfur vulcanization,"A preparation method of itaconate-butadiene bio-based engineering rubber belongs to the bio-based engineering rubber area. The bio-based engineering rubber of the present disclosure is formed through chemical crosslinking of copolymers, which are formed by polymerization of itaconate and butadiene emulsion. The number average molecular weight of the itaconate-butadiene copolymer is about 53000-1640000, and weight-average molecular weight is about 110000-2892000. Itaconate-butadiene copolymers are formed by polymerization of itaconate and butadiene emulsion, then and chemical crosslinking of the copolymer is performed to form bio-based engineering rubber using a traditional sulfur vulcanizing system. The bio-based engineering rubber of the present disclosure has high molecular weights as well as lower glass-transition temperatures and can be vulcanized using the traditional sulfur vulcanizing system. The bio-based engineering rubber of the present disclosure has same physic-mechanical property as well as processability as compared to rubber prepared using conventional techniques and may be used for manufacturing tire treads and conveyor belts."
US20180250984A1-20180906,Bio-based itaconate butadiene rubber tire tread,"A preparation method of itaconate-butadiene bio-based engineering rubber belongs to the bio-based engineering rubber area. The bio-based engineering rubber of the present disclosure is formed through chemical crosslinking of copolymers, which are formed by polymerization of itaconate and butadiene emulsion. The number average molecular weight of the itaconate-butadiene copolymer is about 53000-1640000, and weight-average molecular weight is about 110000-2892000. Itaconate-butadiene copolymers are formed by polymerization of itaconate and butadiene emulsion, then and chemical crosslinking of the copolymer is performed to form bio-based engineering rubber using a traditional sulfur vulcanizing system. The bio-based engineering rubber of the present disclosure has high molecular weights as well as lower glass-transition temperatures and can be vulcanized using the traditional sulfur vulcanizing system. The bio-based engineering rubber of the present disclosure has same physic-mechanical property as well as processability as compared to rubber prepared using conventional techniques and may be used for manufacturing tire treads and conveyor belts."
